generic id,generic name,slug,monograph link,drug class,indication,indication description,dosage description,side effects description,overdose effects description,storage conditions description,reconstitution description
31,Adalimumab,adalimumab-31,https://medex.com.bd/attachments/FgGWUFrlD7LThDOJE9ArMGq3BaZ3J3/adalimumab-prescribing-information,Immunosuppressant,Ulcerative colitis,"adalimumab is a tumor necrosis factor tnf blocker indicated for treatment of 

rheumatoid arthritis ra reducing signs and symptoms inducing major clinical response inhibiting the progression of structural damage and improving physical function in adult patients with moderately to severely active ra  read moreadalimumab is a tumor necrosis factor tnf blocker indicated for treatment of 

rheumatoid arthritis ra reducing signs and symptoms inducing major clinical response inhibiting the progression of structural damage and improving physical function in adult patients with moderately to severely active ra
juvenile idiopathic arthritis jia reducing signs and symptoms of moderately to severely active polyarticular jia in patients 2 years of age and older
psoriatic arthritis psa reducing signs and symptoms inhibiting the progression of structural damage and improving physical function in adult patients with active psa
ankylosing spondylitis as reducing signs and symptoms in adult patients with active as
adult crohns disease cd reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active crohns disease who have had an inadequate response to conventional therapy reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab
pediatric crohns disease reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active crohns disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine 6mercaptopurine or methotrexate
ulcerative colitis uc inducing and sustaining clinical remission in adult patients with moderately to severely active ulcerative colitis who have had an inadequate response to immunosuppressants such as corticosteroids azathioprine or 6mercaptopurine 6mp the effectiveness of adalimumab has not been established in patients who have lost response to or were intolerant to tnf blockers
plaque psoriasis ps the treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy and when other systemic therapies are medically less appropriate
hidradenitis suppurative hs the treatment of moderate to severe hidradenitis suppurativa
","rheumatoid arthritis psoriatic arthritis ankylosing spondylitis 40 mg every other week some patients with ra not receiving methotrexate may benefit from increasing the frequency to 40 mg every week juvenile idiopathic arthritis 

10 kg to 15 kg 10 mg every other week
15 kg to  30 kg 20 mg every other week
 30 kg 40 mg every other week

adult crohns disease and ulcerative colitis 

initial dose day 1 160 mg four 40 mg injections in one day or two 40 mg injections per day for two consecutive days
second dose two weeks later day 15 80 mg
two weeks later day 29 maintenance dose of 40 mg every other week
for patients with ulcerative colitis only adalimumab should only be continued in patients who have shown evidence of clinical remission by eight weeks day 57 of therapy

pediatric crohns disease 

17 kg to  40 kg initial dose day 1 80 mg two 40 mg injections in one day  second dose two weeks later day 15 40 mg  two weeks later day 29 maintenance dose of 20 mg every other week
 40 kg initial dose day 1 160 mg four 40 mg injections in one day or two 40 mg injections per day for two consecutive days  second dose two weeks later day 15 80 mg two 40 mg injections in one day  two weeks later day 29 maintenance dose of 40 mg every other week

plaque psoriasis 

80 mg initial dose followed by 40 mg every other week starting one week after initial dose
hidradenitis suppurativa initial dose day 1 160 mg given as four 40 mg injection on day 1 or as two 40 mg injections per day on days 1 and 2 second dose two weeks later day 15 80 mg two 40 mg injections in one day third day 29 and subsequent doses 40 mg every week
","the most common adverse reaction with adalimumab was injection site reactions erythema andor itching hemorrhage pain or swelling the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction rash and pneumonia 

other adverse reactions of adalimumab includes gastrointestinal disorders diverticulitis large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis pancreatitis
general disorders and administration site conditions pyrexia
hepatobiliary disorders liver failure hepatitis
immune system disorders sarcoidosis
neoplasms benign malignant and unspecified including cysts and polyps merkel cell carcinoma neuroendocrine carcinoma of the skin 
nervous system disorders demyelinating disorders eg optic neuritis guillainbarr syndrome
cerebrovascular accident respiratory disorders interstitial lung disease including pulmonary fibrosis
pulmonary embolism skin reactions stevens johnson syndrome cutaneous vasculitis erythema multiforme new or worsening psoriasis all subtypes including pustular and palmoplantar alopecia
vascular disorders systemic vasculitis deep vein thrombosis
",the maximum tolerated dose of adalimumab has not been established in humans multiple doses up to 10 mgkg have been administered to patients in clinical trials without evidence of doselimiting toxicities in case of overdosage it is recommended that the patient be monitored for any signs or symptoms of adverse reactions or effects and appropriate symptomatic treatment instituted immediately,do not use beyond the expiration date on the container adalimumab must be refrigerated at 28 c do not freeze protect the prefilled syringe from exposure to light store in original carton until time of administration,['ulcerative colitis adalimumab tumor necrosis factor tnf blocker indicated treatment rheumatoid arthritis ra reducing sign symptom inducing major clinical response inhibiting progression structural damage improving physical function adult patient moderately severely active ra read moreadalimumab tumor necrosis factor tnf blocker indicated treatment rheumatoid arthritis ra reducing sign symptom inducing major clinical response inhibiting progression structural damage improving physical function adult patient moderately severely active ra juvenile idiopathic arthritis jia reducing sign symptom moderately severely active polyarticular jia patient 2 year age older psoriatic arthritis psa reducing sign symptom inhibiting progression structural damage improving physical function adult patient active psa ankylosing spondylitis reducing sign symptom adult patient active adult crohn disease cd reducing sign symptom inducing maintaining clinical remission adult patient moderately severely active crohn disease inadequate response conventional therapy reducing sign symptom inducing clinical remission patient also lost response intolerant infliximab pediatric crohn disease reducing sign symptom inducing maintaining clinical remission patient 6 year age older moderately severely active crohn disease inadequate response corticosteroid immunomodulators azathioprine 6mercaptopurine methotrexate ulcerative colitis uc inducing sustaining clinical remission adult patient moderately severely active ulcerative colitis inadequate response immunosuppressant corticosteroid azathioprine 6mercaptopurine 6mp effectiveness adalimumab established patient lost response intolerant tnf blocker plaque psoriasis p treatment adult patient moderate severe chronic plaque psoriasis candidate systemic therapy phototherapy systemic therapy medically less appropriate hidradenitis suppurative h treatment moderate severe hidradenitis suppurativa']
10,Acyclovir + Hydrocortisone,acyclovir-hydrocortisone-10,https://medex.com.bd/attachments/hmi4dt8aYaBubgZ8AkKxlsmFQ49ppe/acyclovir-hydrocortisone-prescribing-information,Hydrocortisone & Combined preparations,Herpes labialis,acyclovir  hydrocortisone cream is indicated for the early treatment of recurrent herpes labialis cold sores to reduce the likelihood of ulcerative cold sores and to shorten the lesion healing time in adults and children 6 years of age and older,the cream should be topically applied 5 times per day for 5 days therapy should be initiated as early as possible after the first signs and symptoms,the following most common adverse reactions 1 were local skin reactions like drying or flaking of the skin burning or tingling erythema pigmentation changes application site reactions including signs and symptoms of inflammation,not available,keep below 30c temperature away from light  moisture keep out of the reach of children,['herpes labialis acyclovir hydrocortisone cream indicated early treatment recurrent herpes labialis cold sore reduce likelihood ulcerative cold sore shorten lesion healing time adult child 6 year age older']
9,Acyclovir (Topical),acyclovir-topical-9,https://medex.com.bd/attachments/ENyoYKzQq8b7VMZE4lELf5n7tqUYGm/acyclovir-topical-prescribing-information,Topical Antiviral preparations,Sore lips,acyclovir cream is a herpes simplex virus hsv nucleoside analogue dna polymerase inhibitor indicated for the treatment of recurrent herpes labialis cold sores in immunocompetent adults and adolescents 12 years of age and older,acyclovir cream should be applied five times per day for four days therapy should be initiated as early as possible following the onset of signs or symptoms of herpes labialis ie during the prodrome or when lesions appear for adolescents 12 years of age and older the dosage is the same as in adults,the most common adverse reactions at the site of topical application were dry lips desquamation dryness of skin cracked lips burning skin pruritus flakiness of skin and stinging on skin each adverse reaction occurred in less than 1 of patients receiving acyclovir cream and placebo three patients on acyclovir cream and one patient on placebo discontinued treatment due to an adverse event,not available,store acyclovir cream at room temperature between 20c to 25c,['sore lip acyclovir cream herpes simplex virus hsv nucleoside analogue dna polymerase inhibitor indicated treatment recurrent herpes labialis cold sore immunocompetent adult adolescent 12 year age older']
12,Acyclovir (Oral),acyclovir-oral-12,https://medex.com.bd/attachments/zVc7h4TgucYev3wdbHFLiqLLdJbnvL/acyclovir-oral-prescribing-information,Herpes simplex & Varicella-zoster virus infections,Varicella zoster (chickenpox),"aciclovir is indicated for

the treatment of viral infections due to herpes simplex virus type i  ii and varicella zoster virus herpes zoster  chicken pox
the treatment of herpes simplex virus infections of the skin and mucous membranes including initial and recurrent genital herpes and herpes labialis
the prophylaxis of herpes simplex infections in immunocompromised patients
","treatment of initial herpes simplex 200 mg 5 times daily usually for 5 days for immunocompromised patients

adult 400 mg 5 times daily for 5 days longer if new lesions appear during treatment or if healing is incomplete increase dose to 800 mg 5 times daily for genital herpes in immunocompromised or as directed by the registered physician
children under 2 years half of the adult dose
children over 2 years adult dose

prevention of recurrence of herpes simplex 

adult 200 mg 4 times daily or 400 mg twice daily possibly reduced to 200 mg 2 or 3 times daily and interrupted every 612 months
children under 2 years half of the adult dose
children over 2 years adult dose

prophylactic treatment of herpes simplex in the immunocompromised patients 

adult 200 to 400 mg 4 times daily
children under 2 years half of the adult dose
children over 2 years adult dose

treatment of vericella chicken pox

adult and children over 40 kg 800 mg 4 times daily for 5 days
children below 40 kg 20 mgkg maximum 800 mg per dose orally 4 times daily 80 mgkgday for 5 days
children 1 month2 years 200 mg 4 times daily for 5 days
children 25 years400 mg 4 times daily for 5 days
children 612 years800 mg 4 times daily for 5 days

treatment of herpes zoster shingles 800 mg 5 times daily for 7 daystreatment of initial rectal proctitis herpes infections an oral aciclovir dosage of 400 mg 5 times daily for 10 days or until clinical resolution occurs has been recommendedrenal impairment for patients with severe renal impairment a reduction of the doses is recommended",rash gastrointestinal disturbance rise in bilirubin and liverrelated enzymes increase in blood urea and creatinine decrease in hematological indices headache neurological reaction fatigue,not available,should be stored below 25c it should be protected from light and moisturekeep out of the reach of children,['varicella zoster chickenpox aciclovir indicated treatment viral infection due herpes simplex virus type ii varicella zoster virus herpes zoster chicken pox treatment herpes simplex virus infection skin mucous membrane including initial recurrent genital herpes herpes labialis prophylaxis herpes simplex infection immunocompromised patient']
13,Acyclovir (Ophthalmic),acyclovir-ophthalmic-13,https://medex.com.bd/attachments/Kz5fDjxpm2VFnag8dQCT5ZhRUDb4oB/acyclovir-ophthalmic-prescribing-information,Ophthalmic Anti-viral Products,Neonatal Conjunctivitis,acyclovir is indicated for the treatment of herpes simplex keratitis,the dosage for all age groups is the same a 10 mm ribbon of the ointment should be placed inside the lower conjunctival sac five times a day at approximately four hourly intervals treatment should continue for at least 3 days after healing,very common superficial punctate keratopathy this did not necessitate an early termination of therapy and healed without apparent sequelae common transient mild stinging of the eye occurring immediately following application conjunctivitis rare blepharitis,no adverse effects would be expected if the entire contents of the tube containing 90 mg acyclovir were ingested orally,store in a cool and dry place keep away from light keep out of reach of children do not touch the tip of the tube since this may contaminate the product after one month of the opening do not use the medicine of tube,['neonatal conjunctivitis acyclovir indicated treatment herpes simplex keratitis']
7,Acyclovir (Injection),acyclovir-injection-7,https://medex.com.bd/attachments/PmBd3zpkyItom7JR1PQT4BuZhCyvfR/acyclovir-injection-updated-2017-prescribing-information,Herpes simplex & Varicella-zoster virus infections,Varicella zoster (chickenpox),"acyclovir intravenous infusion is indicated for the treatment of

acute clinical manifestations of herpes simplex virus in immunocompromised patients
severe primary or nonprimary genital herpes in immune competent patients
varicella zoster virus infection in immunocompromised patients  read moreacyclovir intravenous infusion is indicated for the treatment of

acute clinical manifestations of herpes simplex virus in immunocompromised patients
severe primary or nonprimary genital herpes in immune competent patients
varicella zoster virus infection in immunocompromised patients
herpes zoster shingles in immune competent patients who show very severe acute local or systemic manifestations of the disease
herpes simplex encephalitis
","
herpes simplex infection for normal or immunocompromised immune status 5 mgkg every 8 hours
very severe herpes zoster infection shingles for normal immune status 5 mgkg every 8 hours
varicella zoster infection for immunocompromised immune status 10 mgkg every 8 hours
herpes simplex encephalitis for normal or immunocompromised immune status 10 mgkg every 8 hours

each dose should be administered by slow intravenous infusion over a onehour period",some infrequent adverse reactions are lethargy obtundation tremors confusion hallucinations agitation somnolence psychosis convulsions and coma phlebitis nausea vomiting reversible increases in liverrelated enzymes pruritus urticaria rashes increases in blood urea and creatinine local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues,overdosage of intravenous acyclovir has resulted in elevations of serum creatinine blood urea nitrogen and subsequent renal failure neurological effects including confusion hallucinations agitation seizures and coma have been described in association with over dosage adequate hydration is essential to reduce the possibility of crystal formation in the urine hemodialysis significantly enhances the removal of acyclovir from the blood and may therefore be considered an option in the management of overdose of acyclovir,store at 15c to 25c protected from light and moisture keep the medicine out of the reach of children,['varicella zoster chickenpox acyclovir intravenous infusion indicated treatment acute clinical manifestation herpes simplex virus immunocompromised patient severe primary nonprimary genital herpes immune competent patient varicella zoster virus infection immunocompromised patient read moreacyclovir intravenous infusion indicated treatment acute clinical manifestation herpes simplex virus immunocompromised patient severe primary nonprimary genital herpes immune competent patient varicella zoster virus infection immunocompromised patient herpes zoster shingle immune competent patient show severe acute local systemic manifestation disease herpes simplex encephalitis']
22,Activated Charcoal,activated-charcoal-22,https://medex.com.bd/attachments/hwOAFkOm3RCLYx16xwRggNZC3RDN76/activated-charcoal-prescribing-information,Antidote preparations,"Poisoning due to foods, heavy meals & drugs",diarrhoea  poisoning due to foods heavy meals  drugs flatulence due to diet  other factors,"diarrhoea

adult 24 tab tdsqds
children  adult dose

poisoning

adult 24 tabkg body weight
children 34 tabkg body weight

flatulence

adult disintegrate 12 tab repeat every 2 hr
",as most undesirable effects are based on postmarketing spontaneous reporting precise frequency estimation is not possible no adverse reactions to ultracarbon are known to occur if taken in the recommended dosage to treat the diarrhoea after very high doses as those taken in intoxications constipation and intestinal obstruction mechanical ileus may occur in individual cases this can be prevented by administering saline laxatives eg sodium sulfate as medicinal charcoal is excreted in unchanged form the stools turn black discoloured faeces after intake of ultracarbon tablets,activated charcoal is well tolerated and due to its lack of toxicity overdose requiring treatment is unlikely should symptoms of overdose like constipation and intestinal obstruction mechanical ileus occur a saline laxative may be administered to enhance the elimination of ultracarbon tablets,do not store above 30c,['poisoning due food heavy meal drug diarrhoea poisoning due food heavy meal drug flatulence due diet factor']
2060,Aclidinium Bromide + Formoterol Fumarate,aclidinium-bromide-formoterol-fumarate-2060,not available,Combined bronchodilators,not available,it is indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease copd,for oral inhalation only should be taken by revolizer 400 mcg12 meg twice daily one inhalation capsule in the morning and one in the evening  do not take more than one inhalation twice daily,most common adverse reactions incidence 3 and more common than with placebo include upper respiratory tract infection and headache,not available,keep out of reach of children protect from light  moisture store below 25c,['available indicated maintenance treatment patient chronic obstructive pulmonary disease copd']
25,Acitretin,acitretin-25,https://medex.com.bd/attachments/tYDJBz2ptMyw7Rb8WW7fexbkAq7kS0/acitretin-prescribing-information,Oral Retinoid preparations,Scaly skin disease,acitretin is indicated in severe extensive psoriasis which is resistant to other forms of therapy palmoplantar pustular psoriasis severe congenital ichthyosis severe dariers disease keratosis follicularis,adult and elderly initial daily dose should be 25 mg or 30 mg for 2 to 4 weeks after this initial treatment period the involved areas of the skin should show a marked response andor sideeffects should be apparent in general a daily dosage of 2550 mg taken for a further 6 to 8 weeks to achieve optimal therapeutic results however it may be necessary in some cases to increase the dose up to a maximum of 75 mgdayin patients with dariers disease a starting dose of 10 mg may be appropriate the dose should be increased cautiously as isomorphic reactions may occur patients with severe congenital ichthyosis and severe dariers disease may require therapy beyond 3 months the lowest effective dosage not exceeding 50mgday should be given continuous use beyond 6 months is contraindicated as only limited clinical data are available on patients treated beyond this length of timechildren the daily dosage is about 05mgkg higher doses up to 1mgkg daily may be necessary in some cases for limited periods but only up to a maximum of 35 mgday,adverse effects are seen in most patients receiving acitretin most of the clinical sideeffects of acitretin are doserelated and are usually welltolerated at the recommended dosages however the toxic dose of acitretin is close to the therapeutic dose and most patients experience some sideeffects during theinitial period whilst dosage is being adjusted the skin and mucous membranes are most commonly affected an initial worsening of psoriasis symptoms issometimes seen at the beginning of the treatment period,manifestations of acute vitamin a toxicity include severe headache vertigo nausea or vomiting drowsiness irritability and pruritus signs and symptoms of accidental or deliberate overdosage with acitretin would probably be similar specific treatment is unnecessary because of the low acute toxicity of the preparation,store in a cool  dry place protected from light do not store above 25c,['scaly skin disease acitretin indicated severe extensive psoriasis resistant form therapy palmoplantar pustular psoriasis severe congenital ichthyosis severe dariers disease keratosis follicularis']
177,Acidic component [HCO3 Hemodialysis Solution],acidic-component-hco3-hemodialysis-solution-177,not available,Haemodialysis solutions,Haemodialysis,this solution is used in haemodialysis,recommended dose 5 liters concentrate per dialysis or as required,fluid and electrolyte imbalance hypovolemia hypotension or muscle cramping may occur,not available,not available,['haemodialysis solution used haemodialysis']
